a,b,busLineId,distance
2011,2013,1,473
2013,2342,1,298.2
2342,2344,1,33796.1
2085,2344,1,278.8
2085,2088,1,277.4
2088,2090,1,273.7
2090,2092,1,492.8
2092,2094,1,590.9
2094,2096,1,562.4
2096,2098,1,527.9
2098,2100,1,635.4
1617,2100,1,869.4
1617,2102,1,682.6
2102,2104,1,211.4
2104,2106,1,1126.4
2106,2108,1,543.6
2108,2110,1,535.2
2110,2112,1,211.9
2112,2114,1,260.5
2114,2116,1,1061.2
758,762,1,385.8
746,758,1,1358.4
1012,1014,1,538.2
1012,1016,1,467
2,680,1,934
674,680,1,752.9
628,674,1,1210.2
628,634,1,965.5
597,609,1,386.6
602,609,1,672.9
602,616,1,267.3
367,616,1,807.3
1054,1069,1,336.4
11,611,1,293.4
605,611,1,532.1
595,605,1,265.7
595,599,1,210.4
593,599,1,389.8
593,614,1,330.5
614,633,1,438
629,633,1,1142.1
629,673,1,1210.7
673,679,1,745.3
1,679,1,967.2
1,1015,1,447.6
1011,1015,1,483.1
1011,1013,1,498
745,757,1,1056.1
757,761,1,407.9
2113,2115,1,1049.8
2111,2113,1,278.6
2109,2111,1,210.4
2107,2109,1,530.2
2105,2107,1,546.2
2103,2105,1,1130.9
2101,2103,1,226.8
1616,2101,1,679.9
1616,2099,1,893
2097,2099,1,658.3
2095,2097,1,545.4
2093,2095,1,589.4
2091,2093,1,838.1
2089,2091,1,497.3
2087,2089,1,272.3
2086,2087,1,281.6
2084,2086,1,222
2084,2343,1,33857.2
2012,2343,1,415.6
2010,2012,1,651.8
641,662,2,803.5
659,662,2,243.8
649,659,2,386.6
649,658,2,173.5
653,658,2,714.3
653,667,2,264.2
667,706,2,348
703,706,2,216.3
703,705,2,294.6
720,724,2,401.9
711,720,2,362.7
694,711,2,287.8
680,694,2,2055.7
676,680,2,491.5
1010,1613,2,576.7
1010,2348,2,552.6
2347,2348,2,325.3
1009,2347,2,551.6
1008,1009,2,42.8
1005,1008,2,427.9
881,929,2,404.8
881,927,2,989.6
927,935,2,645.5
903,931,2,451.6
903,905,2,228.9
905,917,2,250.2
917,919,2,239.8
915,919,2,289.7
899,915,2,448.3
899,901,2,487.8
897,901,2,387
894,897,2,412.3
797,891,2,374
797,801,2,390.1
801,807,2,393.2
800,807,2,232.6
795,800,2,210.1
795,805,2,415.5
805,867,2,192.4
849,867,2,1367.2
810,818,2,1352.1
810,813,2,331
809,813,2,358
809,819,2,844.9
796,806,2,385.4
796,799,2,254.1
799,808,2,241.1
802,808,2,351.1
798,802,2,348.1
798,892,2,455.6
884,892,2,307.3
884,893,2,1065.5
893,896,2,424.9
896,900,2,380.3
898,900,2,487.3
898,914,2,448.4
914,918,2,279.4
916,918,2,245.4
904,916,2,256.5
902,904,2,225.5
902,930,2,437
880,928,2,421.9
1004,2346,2,423.6
1006,2346,2,1180.5
1006,1007,2,320.6
1007,2349,2,458.7
1612,2349,2,700.1
675,679,2,486.2
679,693,2,2060.2
693,710,2,280.9
710,721,2,369.1
2134,2479,2,337.2
2137,2479,2,349.9
704,707,2,220.1
668,707,2,323.7
654,668,2,271.3
654,657,2,776.9
650,657,2,130.9
650,660,2,351
660,661,2,309.5
640,661,2,738.3
789,792,4,424.3
782,789,4,636.6
780,782,4,562.2
772,780,4,1066.2
772,773,4,613.8
666,773,4,641.3
651,666,4,421.9
639,643,4,516.5
557,643,4,1463.6
549,557,4,1362
546,549,4,988.2
546,552,4,581.7
526,530,4,419.5
524,526,4,448.7
398,524,4,424.3
398,404,4,606.7
404,408,4,483.7
408,410,4,331.1
395,410,4,390.9
395,467,4,348.9
467,474,4,518.2
474,476,4,410.6
470,476,4,558.9
175,423,4,1168.3
158,175,4,1470.6
148,158,4,1798.8
145,148,4,1376.4
145,152,4,677.3
149,152,4,1321.9
146,149,4,1224.6
146,159,4,278.6
157,159,4,1193.9
157,416,4,314.4
469,475,4,474
473,475,4,479.2
468,473,4,522.4
396,468,4,334.8
396,409,4,375
407,409,4,311
403,407,4,473.6
397,403,4,616.4
397,523,4,437.5
523,525,4,454.4
525,529,4,414
529,553,4,329.2
551,553,4,518.5
545,551,4,1394
545,550,4,607.1
550,555,4,1290.8
555,642,4,1473.2
638,642,4,532.2
652,663,4,350.4
663,774,4,660.4
771,774,4,573.2
771,779,4,1133.2
779,781,4,838.3
781,790,4,684
790,791,4,422.7
787,2147,5,1167.1
762,2116,1,195.1
